,,基準階300坪以上,,基準階100坪,
,,min300,max300,min100,max100
2002,,,,,
,,,,,
,2002下期,2,3.5,1.8,2.7
,,,,,
2003,2003上期,2,3.5,1.5,2.2
,,,,,
,2003下期,2,3.5,1.5,2.2
,,,,,
2004,2004上期,2,3,1.6,2.3
,,,,,
,2004下期,2,3,1.5,2.3
,,,,,
2005,2005上期,2.2,3.2,1.5,2.3
,,,,,
,2005下期,2.5,3.5,1.8,3
,,,,,
2006,2006上期,2.7,4.5,1.7,3.5
,,,,,
,2006下期,3,4.5,2.2,3.5
,,,,,
2007,2007上期,3.5,4.8,2.2,3.5
,,,,,
,2007下期,3.5,4.8,2.5,3.5
,,,,,
2008,2008上期,4,5,2.5,3.5
,,,,,
,2008下期,3.5,4.5,2.5,3.3
,,,,,
2009,2009上期,2.7,3.5,2.2,2.8
,,,,,
,2009下期,2.5,3.2,2,2.5
,,,,,
2010,2010上期,2.5,3.2,1.8,2.6
,,,,,
,2010下期,2,2.8,1.7,2.3
,,,,,
2011,2011上期,1.9,2.6,1.5,2.2
,,,,,
,2011下期,2,2.5,1.5,2.1
,,,,,
2012,2012上期,2,2.5,1.5,1.8
,,,,,
,2012 9月,2,2.6,1.5,2
,2012 12月,1.8,2.6,1.4,2
2013,2013 3月,1.8,2.7,1.4,1.9
,2013 6月,1.8,2.8,1.4,1.9
,2013 9月,1.8,2.8,1.4,2
,2013 12月,1.9,3,1.5,2.1
2014,2014 3月,2,3,1.5,2
,2014 6月,2.2,3,1.5,2.1
,2014 9月,2.3,3,1.6,2.2
,2014 12月,2.3,3,1.6,2.2
2015,20150 3月,2.5,3.1,1.7,2.3
,20150 6月,2.5,3.2,1.7,2.4
,20150 9月,2.5,3.3,1.8,2.4
,20150 12月,2.5,3.3,1.8,2.4
2016,2016 3月,2.5,3.4,1.8,2.5
,2016 6月,2.6,3.4,1.8,2.5
,2016 9月,2.6,3.4,1.8,2.5
,2016 12月,2.6,3.4,1.8,2.5
2017,2017 3月,2.6,3.5,1.8,2.5
,2017 6月,2.6,3.5,1.8,2.5
,2017 9月,2.7,3.5,1.8,2.6
,2017 12月,2.6,3.5,1.8,2.6
2018,2018 3月,2.6,3.5,1.8,2.6
,2018 6月,2.6,3.6,1.9,2.7
,2018 9月,2.6,3.7,1.9,2.7
,2018 12月,2.6,3.7,1.9,2.8
2019,2019 3月,2.7,3.7,2,2.8
,2019 6月,2.8,3.7,2,2.8
,2019 9月,2.8,3.8,2,2.8
,2019 12月,2.9,3.9,2.1,2.9
2020,2020 3月,3,3.9,2.1,2.9
,2020 6月,3,3.9,2.1,2.9
,2020 9月,2.9,3.8,2.1,2.9
,2020 12月,2.8,3.7,2,2.9
2021,2021 3月,2.8,3.5,2,2.8
,2021 6月,2.6,3.5,2,2.8
